sampleid	population
ERR7738143	Carter
ERR7738158	Carter
ERR7738166	Carter
ERR7738182	Carter
ERR7738185	Carter
ERR7738196	Carter
ERR7738215	Carter
ERR7738229	Carter
ERR7738234	Carter
ERR7738253	Carter
ERR7738267	Carter
ERR7738276	Carter
ERR7738277	Carter
ERR7738353	Carter
ERR7738433	Carter
ERR7738514	Carter
ERR7738515	Carter
ERR7738537	Carter
ERR7738545	Carter
ERR7738546	Carter
ERR7738547	Carter
ERR7738549	Carter
ERR7738553	Carter
ERR7738558	Carter
ERR7738562	Carter
ERR7738578	Carter
ERR7738580	Carter
ERR7738594	Carter
ERR7738597	Carter
ERR7738604	Carter
ERR7738608	Carter
ERR7738611	Carter
ERR7738612	Carter
ERR7738616	Carter
ERR7738620	Carter
ERR7738622	Carter
ERR7738624	Carter
ERR7738629	Carter
ERR7738630	Carter
ERR7738665	Carter
ERR7738937	Carter
ERR7738938	Carter
ERR7745402	Carter
ERR7745596	Carter
ERR7745787	Carter
ERR7745819	Carter
ERR7745831	Carter
ERR7745836	Carter
ERR7746398	Carter
ERR7746440	Carter
ERR7747782	Carter
SRR8732217	Conteville
SRR8732218	Conteville
SRR8732219	Conteville
SRR8732220	Conteville
SRR8732221	Conteville
SRR8732222	Conteville
SRR8732223	Conteville
SRR8732224	Conteville
SRR8732225	Conteville
SRR8732226	Conteville
SRR8732227	Conteville
SRR8732228	Conteville
SRR8732229	Conteville
SRR8732230	Conteville
SRR8732231	Conteville
SRR1761676	Obregon_Tito
SRR1761677	Obregon_Tito
SRR1761678	Obregon_Tito
SRR1761679	Obregon_Tito
SRR1761680	Obregon_Tito
SRR1761681	Obregon_Tito
SRR1761682	Obregon_Tito
SRR1761683	Obregon_Tito
SRR1761684	Obregon_Tito
SRR1761685	Obregon_Tito
SRR1761686	Obregon_Tito
SRR1761687	Obregon_Tito
SRR1761688	Obregon_Tito
SRR1761689	Obregon_Tito
SRR1761690	Obregon_Tito
SRR1761691	Obregon_Tito
SRR1761692	Obregon_Tito
SRR1761693	Obregon_Tito
SRR1761694	Obregon_Tito
SRR1761695	Obregon_Tito
SRR1761696	Obregon_Tito
SRR1761697	Obregon_Tito
SRR1761698	Obregon_Tito
SRR1761699	Obregon_Tito
SRR1761700	Obregon_Tito
SRR1761701	Obregon_Tito
SRR1761702	Obregon_Tito
SRR1761703	Obregon_Tito
SRR1761704	Obregon_Tito
SRR1761705	Obregon_Tito
SRR1761706	Obregon_Tito
SRR1761707	Obregon_Tito
SRR1761708	Obregon_Tito
SRR1761709	Obregon_Tito
SRR1761710	Obregon_Tito
SRR1761711	Obregon_Tito
SRR1761712	Obregon_Tito
SRR1761713	Obregon_Tito
SRR1761714	Obregon_Tito
SRR1761715	Obregon_Tito
SRR1761716	Obregon_Tito
SRR1761717	Obregon_Tito
SRR1761718	Obregon_Tito
SRR1761719	Obregon_Tito
SRR1761720	Obregon_Tito
SRR1761721	Obregon_Tito
ERR11604928	Rampelli
ERR11604929	Rampelli
ERR11604930	Rampelli
ERR11604931	Rampelli
ERR11604932	Rampelli
ERR11604933	Rampelli
ERR11604934	Rampelli
ERR11604935	Rampelli
ERR11604936	Rampelli
ERR11604937	Rampelli
ERR11604938	Rampelli
ERR11604939	Rampelli
ERR11604940	Rampelli
ERR11604941	Rampelli
ERR11604942	Rampelli
ERR11604943	Rampelli
ERR11604944	Rampelli
ERR11604945	Rampelli
ERR11604946	Rampelli
ERR11604947	Rampelli
ERR11604948	Rampelli
ERR11604949	Rampelli
ERR11604950	Rampelli
ERR11604951	Rampelli
ERR11604952	Rampelli
ERR11604953	Rampelli
SRR17643452	Tee
SRR17643456	Tee
SRR17643458	Tee
SRR17643459	Tee
SRR17643460	Tee
SRR17643462	Tee
SRR17643466	Tee
SRR17643467	Tee
SRR17643474	Tee
SRR17643478	Tee
SRR17643479	Tee
SRR17643482	Tee
SRR17643504	Tee
SRR17643506	Tee
SRR17643507	Tee
SRR17643508	Tee
SRR17643518	Tee
SRR17643520	Tee
SRR17643521	Tee
SRR17643523	Tee
SRR17643531	Tee
SRR17643652	Tee
SRR17643657	Tee
SRR17643662	Tee
SRR17643790	Tee
SRR17643792	Tee
SRR17643794	Tee
SRR17643804	Tee
SRR17643809	Tee
SRR17643913	Tee
SRR17643916	Tee
SRR17643919	Tee
SRR17643922	Tee
SRR17643924	Tee
SRR17643927	Tee
SRR17643933	Tee
SRR17643938	Tee
SRR17643958	Tee
SRR17643968	Tee
SRR17643989	Tee
SRR17644085	Tee
