sample_id;Population
ERR7738143;Hadza
ERR7738158;Hadza
ERR7738166;Hadza
ERR7738182;Hadza
ERR7738185;Hadza
ERR7738196;Hadza
ERR7738215;Hadza
ERR7738229;Nepali
ERR7738253;Hadza
ERR7738267;Hadza
ERR7738276;California
ERR7738277;Nepali
ERR7738353;Nepali
ERR7738514;California
ERR7738515;Nepali
ERR7738537;Hadza
ERR7738545;Nepali
ERR7738546;California
ERR7738547;California
ERR7738549;California
ERR7738553;Nepali
ERR7738558;Nepali
ERR7738562;California
ERR7738578;California
ERR7738580;Nepali
ERR7738594;Hadza
ERR7738597;California
ERR7738604;Hadza
ERR7738608;Hadza
ERR7738611;Hadza
ERR7738612;Hadza
ERR7738616;Hadza
ERR7738620;California
ERR7738622;Hadza
ERR7738624;Hadza
ERR7738629;Hadza
ERR7738630;Hadza
ERR7738937;California
ERR7738938;Nepali
ERR7745402;Hadza
ERR7745596;Nepali
ERR7745787;Nepali
ERR7745819;Hadza
ERR7745831;Nepali
ERR7745836;Nepali
ERR7746398;Hadza
ERR7746440;Hadza
