DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum Colors
COLOR	#ff0000
STRIP_WIDTH	25
MARGIN	5
BORDER_WIDTH	1
BORDER_COLOR	#000000
LEGEND_TITLE	Phyla
LEGEND_SHAPES	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_COLORS	#1f77b4,#aec7e8,#ff7f0e,#ffbb78,#2ca02c,#98df8a,#d62728,#ff9896,#9467bd,#c5b0d5,#8c564b,#c49c94,#e377c2,#f7b6d2,#7f7f7f,#c7c7c7,#bcbd22,#dbdb8d,#17becf,#9edae5
LEGEND_LABELS	Bacteroidota,Pseudomonadota,Bacillota_A,Actinomycetota,Spirochaetota,Verrucomicrobiota,Bacillota_C,Bacillota,Cyanobacteriota,Elusimicrobiota,Methanobacteriota,Desulfobacterota,Campylobacterota,Fibrobacterota,Myxococcota,Thermoplasmatota,Eremiobacterota,Bacillota_B,Planctomycetota,Fusobacteriota
DATA
SRR17643919_bin.13	#1f77b4
ERR7738515_bin.43	#1f77b4
SRR1761707_bin.17	#1f77b4
ERR7738143_bin.57	#1f77b4
SRR1761705_bin.6	#1f77b4
SRR1761693_bin.7	#1f77b4
SRR17643478_bin.2	#1f77b4
SRR17643466_bin.26	#1f77b4
SRR17643523_bin.9	#1f77b4
ERR11604930_bin.6	#aec7e8
ERR7738562_bin.3	#1f77b4
SRR17643459_bin.9	#1f77b4
SRR17643938_bin.16	#1f77b4
ERR11604944_bin.10	#1f77b4
SRR17643508_bin.26	#ff7f0e
ERR11604933_bin.16	#aec7e8
ERR7738594_bin.143	#1f77b4
SRR17643456_bin.7	#ff7f0e
ERR7745402_bin.7	#1f77b4
SRR1761711_bin.7	#1f77b4
SRR1761676_bin.11	#ff7f0e
SRR1761721_bin.20	#ff7f0e
SRR17643958_bin.31	#1f77b4
SRR1761703_bin.21	#1f77b4
SRR1761691_bin.18	#ff7f0e
SRR17643790_bin.23	#1f77b4
SRR1761701_bin.16	#1f77b4
SRR1761692_bin.6	#ff7f0e
ERR7738578_bin.79	#ffbb78
ERR7738196_bin.10	#1f77b4
SRR8732225_bin.5	#aec7e8
ERR7738624_bin.105	#1f77b4
ERR7738630_bin.123	#2ca02c
SRR17643506_bin.3	#1f77b4
SRR1761686_bin.17	#1f77b4
