;Genome;original_bin;phylum;class;order;family;genus;species
1;MGYG000001526;SRR17643919_bin.13;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_B
2;MGYG000000332;ERR7738515_bin.43;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900313215
3;MGYG000001309;SRR1761707_bin.17;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900551275
4;MGYG000000087;ERR7738143_bin.57;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900551985
5;MGYG000001302;SRR1761705_bin.6;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900546535
6;MGYG000001239;SRR1761693_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
7;MGYG000001437;SRR17643478_bin.2;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
8;MGYG000001420;SRR17643466_bin.26;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900557035
9;MGYG000001476;SRR17643523_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
10;MGYG000000006;ERR11604930_bin.6;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;Succinivibrio;Succinivibrio sp000431835
11;MGYG000000479;ERR7738562_bin.3;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus
12;MGYG000001406;SRR17643459_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella hominis
13;MGYG000001560;SRR17643938_bin.16;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000434975
14;MGYG000000049;ERR11604944_bin.10;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900544825
15;MGYG000001463;SRR17643508_bin.26;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
16;MGYG000000017;ERR11604933_bin.16;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;WG-1;WG-1 sp900539665
17;MGYG000000547;ERR7738594_bin.143;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900548535
18;MGYG000001390;SRR17643456_bin.7;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D
19;MGYG000001033;ERR7745402_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002251295
20;MGYG000001330;SRR1761711_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900554835
21;MGYG000001154;SRR1761676_bin.11;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A wexlerae
22;MGYG000001379;SRR1761721_bin.20;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp900772565
23;MGYG000001566;SRR17643958_bin.31;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000436035
24;MGYG000001291;SRR1761703_bin.21;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000436915
25;MGYG000001228;SRR1761691_bin.18;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
26;MGYG000001493;SRR17643790_bin.23;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella stercorea
27;MGYG000001276;SRR1761701_bin.16;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002265625
28;MGYG000001234;SRR1761692_bin.6;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium duncaniae
29;MGYG000000508;ERR7738578_bin.79;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis
30;MGYG000000181;ERR7738196_bin.10;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900543975
31;MGYG000001595;SRR8732225_bin.5;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;Succinivibrio;Succinivibrio sp000431835
32;MGYG000000820;ERR7738624_bin.105;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900548745
33;MGYG000000905;ERR7738630_bin.123;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D sp900541945
34;MGYG000001457;SRR17643506_bin.3;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900290275
35;MGYG000001203;SRR1761686_bin.17;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
36;MGYG000001146;ERR7746440_bin.56;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;
37;MGYG000000551;ERR7738594_bin.47;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D peruense
38;MGYG000001488;SRR17643662_bin.8;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
39;MGYG000001424;SRR17643467_bin.2;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium longum
40;MGYG000001255;SRR1761697_bin.23;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
41;MGYG000001432;SRR17643474_bin.39;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E bromii_B
42;MGYG000001148;ERR7746440_bin.72;Bacillota_A;Clostridia;Christensenellales;CAG-74;UBA11524;UBA11524 sp000437595
43;MGYG000001556;SRR17643933_bin.18;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola
44;MGYG000001358;SRR1761717_bin.16;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D succinifaciens
45;MGYG000001114;ERR7745836_bin.45;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002299635
46;MGYG000000738;ERR7738616_bin.34;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella faecis
47;MGYG000001456;SRR17643504_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
48;MGYG000000102;ERR7738158_bin.20;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900544195
49;MGYG000000079;ERR7738143_bin.20;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372;UBA4372 sp900543815
50;MGYG000000683;ERR7738611_bin.61;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;RF16;RF16 sp900556095
