"","cluster","phylum","class","order","family","genus","species"
"1","6_1","Pseudomonadota","Alphaproteobacteria","Rs-D84","Rs-D84","Enterousia","Enterousia sp900550565"
"2","15_1","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter_D","Campylobacter_D sp900539255"
"3","49_1","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883","UBA2883 sp900768915"
"4","52_1","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Zag111 sp002103105"
"5","58_5","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella sp900556915"
"6","67_1","Bacillota","Bacilli","Erysipelotrichales","Coprobacillaceae","Catenibacterium","Catenibacterium sp000437715"
"7","67_2","Bacillota","Bacilli","Erysipelotrichales","Coprobacillaceae","Catenibacterium","Catenibacterium mitsuokai"
"8","75_15","Spirochaetota","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira aalborgi"
"9","79_13","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A","Methanobrevibacter_A smithii_A"
"10","79_24","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter_A","Methanobrevibacter_A smithii"
"11","242_1","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","RF16","RF16 sp900556095"
"12","245_1","Bacillota_C","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis"
"13","292_12","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
"14","306_1","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_A","Duodenibacillus","Duodenibacillus sp900544255"
"15","311_12","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp000435075"
"16","313_1","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp000432515"
"17","314_1","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900545245"
"18","316_8","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp000433355"
"19","318_12","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900546445"
"20","320_1","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900541925"
"21","329_1","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis"
"22","348_1","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp900543155"
"23","350_12","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp900540885"
"24","351_1","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella timonensis"
