"","Genome","original_bin","domain","phylum","class","order","family","genus","species","fastani_reference","fastani_reference_radius","fastani_taxonomy","fastani_ani","fastani_af","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references.genome_id.species_name.radius.ANI.AF.","msa_percent","translation_table","red_value","warnings","completeness","contamination","length","N50","centrality","ERR11604928","ERR11604929","ERR11604930","ERR11604931","ERR11604932","ERR11604933","ERR11604934","ERR11604935","ERR11604936","ERR11604937","ERR11604938","ERR11604939","ERR11604940","ERR11604941","ERR11604942","ERR11604943","ERR11604944","ERR11604945","ERR11604946","ERR11604947","ERR11604948","ERR11604949","ERR11604950","ERR11604951","ERR11604952","ERR11604953","ERR7738143","ERR7738158","ERR7738166","ERR7738182","ERR7738185","ERR7738196","ERR7738215","ERR7738229","ERR7738234","ERR7738253","ERR7738267","ERR7738276","ERR7738277","ERR7738353","ERR7738433","ERR7738514","ERR7738515","ERR7738537","ERR7738545","ERR7738546","ERR7738547","ERR7738549","ERR7738553","ERR7738558","ERR7738562","ERR7738578","ERR7738580","ERR7738594","ERR7738597","ERR7738604","ERR7738608","ERR7738611","ERR7738612","ERR7738616","ERR7738620","ERR7738622","ERR7738624","ERR7738629","ERR7738630","ERR7738665","ERR7738937","ERR7738938","ERR7745402","ERR7745596","ERR7745787","ERR7745819","ERR7745831","ERR7745836","ERR7746398","ERR7746440","ERR7747782","SRR1761676","SRR1761677","SRR1761678","SRR1761679","SRR1761680","SRR1761681","SRR1761682","SRR1761683","SRR1761684","SRR1761685","SRR1761686","SRR1761687","SRR1761688","SRR1761689","SRR1761690","SRR1761691","SRR1761692","SRR1761693","SRR1761694","SRR1761695","SRR1761696","SRR1761697","SRR1761698","SRR1761699","SRR1761700","SRR1761701","SRR1761702","SRR1761703","SRR1761704","SRR1761705","SRR1761706","SRR1761707","SRR1761708","SRR1761709","SRR1761710","SRR1761711","SRR1761712","SRR1761713","SRR1761714","SRR1761715","SRR1761716","SRR1761717","SRR1761718","SRR1761719","SRR1761720","SRR1761721","SRR17643452","SRR17643456","SRR17643458","SRR17643459","SRR17643460","SRR17643462","SRR17643466","SRR17643467","SRR17643474","SRR17643478","SRR17643479","SRR17643482","SRR17643504","SRR17643506","SRR17643507","SRR17643508","SRR17643518","SRR17643520","SRR17643521","SRR17643523","SRR17643531","SRR17643652","SRR17643657","SRR17643662","SRR17643790","SRR17643792","SRR17643794","SRR17643804","SRR17643809","SRR17643913","SRR17643916","SRR17643919","SRR17643922","SRR17643924","SRR17643927","SRR17643933","SRR17643938","SRR17643958","SRR17643968","SRR17643989","SRR17644085","SRR8732217","SRR8732218","SRR8732219","SRR8732220","SRR8732221","SRR8732222","SRR8732223","SRR8732224","SRR8732225","SRR8732226","SRR8732227","SRR8732228","SRR8732229","SRR8732230","SRR8732231"
"1","MGYG000001526","SRR17643919_bin.13","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella copri_B","GCF_009494135.1","95.823","Prevotella copri_B","97.52","0.785","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","Prevotella sp934191715, 95.7522, 95.83, 0.714","N/A","N/A","N/A","N/A","99.93","0.06","3492750","46296","0.964661769230769","0.0142618482132552","0.00845552574544685","0.0282667653766241","0.0374023217682814","0.00599219130833844","0.0476682136262797","0","0.0287463430930892","0","0.0118928513699173","0.0286091352800365","0.0274823343474728","0.0149642190840023","0.0749153075551303","0.00566533518098513","0","0","0.0249075966622278","0","0.00948362522421786","0.0105583211764851","0","0.0550674931690705","0","0.00771455129831359","0.0440553865911857","0.00929343612931089","0.0184098177343689","0.0230353280207791","0.0368604051263725","0.00139850893185658","0.07774544687895","0.0264508944602304","0.0710355960524519",NA,"0.00393479648448602","0.029399092228337","0","0.0654347814307056","0.0531883501263495",NA,"0","0.414266060755869","0.0110807983054754","0.106496731758566","0.255925456214863","0","0.191129950969304","0.0122984824619339","0.0446149670638935","0","0.0034805201809266","0.067363523338667","0.0251187730908282","0","0.0154622446101426","0.00344705548917905","0.00920162365465854","0.00390072811695842","0.0503005529550705","0","0.0289969114948789","0.0123851438934522","0.099433018666298","0.0186229904385248",NA,"0","0.036020154892511","0.0188519025588049","0.309745661794441","0.0372637801064812","0.0372904939940458","0.0435257310194672","0.0476608431428084","0.0505092674972374","0.0141229776979522","0.031796861088696","0","0","0.0109738266741358","0.0215780541976738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00467462974403572","0.00581055055372077","0.00483498463266211","0.00784931828975639","0.0552591106209571","0","0.00603779509025526","0","0.00544318847247321","0.0314225900737279","0","0.00276007970032919","0","0.0227302459320253","0.0041924615450534","0","0","0.0238764736653257","0.00992220882257822","0.00953747593604643","0.00267958475728576","0.0458265090237369","0.00993236061378103","0.141019986785873","0.0229264900737667","0.0421463834917884","0","0","0.00941058815622528","0","0","0.0460892546850404","0","0","0","0","0.00252577118965986","0.0250713746502007","0.122395207520022","0.0173098785336157","0.0129264312421823","0.0377486420798546","0.000530143131190558","0.00207374913165531","0","0.0130049187671611","0.0133269620214845","0","0.0394928871891773","0","0.00604516671092648","0.00291740394461796","0","0.102439265706042","0","0.0623767680032476","0.0418202189005939","0","0","0.00329605101418723","0","0.0599281340147692","0.0132127675357644","0.00573152656507115","0.00507096345359919","0.0216584154178118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","MGYG000000332","ERR7738515_bin.43","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900313215","GCF_009495355.1","95.0","Prevotella sp900313215","97.33","0.811","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","99.82","4.33","3305406","45661","0.972799882352941","0","0","0.00989153525273938","0","0","0","0","0.0208797335294694","0","0.00779731044435945","0.0134733782142119","0.0340880855742092","0.00914279868632876","0.0406161749475486","0.00949481278396713","0.0156793740341679","0.00461476360540056","0.0252712705190243","0","0","0.0202601878542815","0.00657087851873591","0","0","0.00404528634044918","0.0178713023668215","0.00432831901857386","0.00939966890512084","0.00633831618820313","0","0","0.0125578376215546","0.00994692535919599","0.0335220663835324",NA,"0.00220876589006044","0.0111481235215159","0","0.0754985008882756","0.0503060499608282",NA,"0","0.172885847451564","0.00569668174486453","0.0747105255915308","0","0","0","0.018993249380217","0.013048419693742","0","0","0.0335380302945779","0.0238041826965366","0","0.0073543955875835","0.00198206909356357","0.00268781414384238","0","0.0256554532655146","0","0.0248597321546609","0.00259400697933256","0.0124787388393825","0.00223829113612238",NA,"0","0.0363433171488442","0.0300821803875526","0","0.0315731980035463","0.0193486041450485","0.0667967343805372","0.0388673589880655","0.100716520745067","0.00450652643552928","0.00835413437322138","0","0","0","0.00611229731980605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00378107839806764","0.00352951811718508","0.0181553742750182","0.0140080321271669","0","0","0","0.00632250347499807","0.0194514404254689","0.0104784410817925","0.00297676507790075","0","0.0279393709451451","0.00485608630905563","0","0","0.039108195662778","0.00367629190964613","0","0.00375881614347071","0","0.0104924120410584","0.0380634529974426","0","0.0117355716368054","0","0","0.00707423237976935","0","0","0.0136337071312926","0","0","0","0","0","0.00545353092901966","0","0","0.0426581689060669","0.0553940431836174","0","0","0.00343804735559097","0.00885726946826509","0","0.00138599343118195","0.008012702401999","0","0","0.00189035467244904","0.0253619313124318","0","0","0","0","0","0","0","0","0.0339144226514927","0.00792712414280247","0.00183680337820504","0","0.0123076007670657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","MGYG000001309","SRR1761707_bin.17","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900551275","GCF_019127135.1","95.0063","Prevotella sp900551275","96.11","0.825","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","62.74","2.19","2293348","11447","0","0.00852201584251788","0.00575792554857275","0.0179034645276991","0.0295014198167254","0.00620318123698606","0.0394277043423564","0","0.023081602879728","0.00679276059472507","0","0.0168445909249982","0.0243830768363883","0.0109715541868326","0.0878844637350811","0.00472390082586085","0","0","0.0180008244983357","0","0.011424106536885","0.00767125877696901","0","0.0508403204480592","0","0.00678548618439204","0.0472452858186459","0.00509292998878788","0.0104502792706554","0.0324985840078002","0.0236108035052565","0","0.0498052014869605","0.0207084346928941","0.0393497454438307",NA,"0.00226710130907036","0.0380926530825356","0","0.0625390162540484","0.0396332778112636",NA,"0","0.143887440608765","0.0075119655029553","0.0489503929804634","0.0768851731227389","0","0","0.00711006281307242","0.0305735530754005","0","0","0.046716071569535","0.0177514074698475","0","0.0118562824517628","0.00189790357080069","0.00649119545601568","0.00192072267150882","0.0299878113885822","0","0.0231655034618471","0.00742918860857715","0.0757055006388916","0.0105816799592667",NA,"0","0.0247125116022672","0.0126083975600546","0.113277843260536","0.0266615975366968","0.0336673035363624","0.0331860920196444","0.0358837101363288","0.0414626997013883","0.0212163668405931","0.0183722195157434","0","0","0.0041331675375356","0.0109477570833135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00374503914575113","0.00207706294641565","0.00390122180725599","0.0213606534136606","0","0.00377480521184643","0","0.00428564985425376","0.0153329756611467","0.0225156227888309","0.00169716941882038","0","0.0210469621115302","0.0024849210209261","0","0","0.0114918168365737","0.00546679195541081","0.00553393766752847","0","0.0275156802883937","0.00687526915549585","0.0664205102539781","0.0125472596240752","0.0177632893711753","0","0","0","0","0","0.0185334654030607","0","0","0","0","0","0.0112041828989273","0","0.00760799954573239","0.00791331516081935","0.0170042740299594","0","0","0.000970988612105292","0.00783989803169947","0","0","0.022904898394187","0","0.00328907414187119","0","0","0.045619720104638","0","0","0","0","0","0","0","0.0266185546693201","0.0053695591179803","0","0","0.0102058959580581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","MGYG000000087","ERR7738143_bin.57","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900551985","GCA_900551985.1","95.0","Prevotella sp900551985","97.68","0.707","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","79.26","0.9","3032959","23058","0","0.0232675378615352","0","0.012288966612903","0.0261674338338148","0.00790330542282523","0.0170340584348044","0.00926577345108572","0.0424998670225985","0.0101393938043677","0.0142786444288049","0.0438296779330462","0.0204886731952731","0.0174845279244975","0.0279347811630914","0.00554399799347517","0","0.0062674000550673","0.0330738232622323","0.00985536402159284","0.00803131431734637","0.014776787939188","0","0.0264999227419042","0","0.0079921889664837","0.0554477257163659","0.020610517640091","0.00741246167326826","0.00979462558919806","0.0501632975497658","0","0.0281191199030545","0.0151606269443072","0.0553502186494317",NA,"0.00255537879400993","0.148504060482037","0","0.043568061659771","0.0293217247368052",NA,"0","0","0.00712079086074448","0.0309624090086705","0","0","0","0.0260199593684929","0.0270901363369707","0","0","0.0150712168305344","0.016804719763272","0","0.00877002515227746","0.0109517905869298","0.00985020953855933","0.00499928714480135","0.020382981973933","0","0.0164175346751404","0.00381366999065116","0.0352807621018564","0.00494861142184347",NA,"0","0.0311800502291576","0.0126346040626676","0","0.0119340073139929","0.0180647777310694","0.068175175652193","0.0361951630250709","0.0128079256913776","0.00605178297039015","0.0194790452481536","0","0","0.00348990444284075","0.00762181894914273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00319051826311228","0.007819133373467","0","0.0712214906263555","0","0.00626860027103894","0","0.00215747080012197","0.00900184840131739","0","0","0","0.0139522271423968","0.00233118289778358","0","0","0.0148289795325555","0.00414160851287838","0","0","0","0.0131446035040571","0.0176452517504269","0.00332935236748189","0.0117672244784966","0","0","0.00499197985121825","0","0","0","0","0","0","0","0","0","0","0.00721211608194082","0.0166331187359387","0.0479456440108207","0","0","0","0.0214122961876973","0","0","0.0077982564128047","0","0","0","0.00411142226103307","0.0511965433762729","0","0","0","0","0","0","0","0.0295524791500571","0.00477499779156016","0.00288354322047007","0","0.0141499221643014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","MGYG000001302","SRR1761705_bin.6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900546535","GCF_009494395.1","95.0","Prevotella sp900546535","96.38","0.847","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","72.02","0.52","2754199","9140","0.9792935","0.0211625735873977","0.00836861301700422","0","0","0","0.0406010804967858","0.0176655810002527","0","0.00680669322712119","0.028527642622709","0.0344158224554536","0","0.0104099259735818","0","0","0","0","0.0267547297347987","0.00742869901873153","0.00595663236807517","0.0183157779090499","0.00260401380669172","0.0276788637898913","0","0.0181829452165839","0","0","0.0238749465035095","0.0346112935975056","0.0238559462736812","0.00492347327885816","0.0244185079005942","0.0244060716184209","0.0290033478787797",NA,"0.00476841573950409","0.0204214146180639","0","0.0400980033422939","0.0264508514114252",NA,"0","0","0.00722275339337208","0.0330167504907471","0","0","0","0.0141457870314066","0.0508341452616224","0","0","0.0294570481391286","0.042682352908668","0","0.0102415423213469","0","0.0114120552145811","0.00297164465520464","0.0258688544167419","0","0.0492079469506615","0.00473246408407003","0","0.00553471650978395",NA,"0","0.0250982280639657","0.0225441098758346","0","0.0212986810672646","0.0742971708739943","0.0373834347565606","0.0324587619202559","0.0144445928392949","0.0062710065157039","0.0370141186271333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00970191619937653","0.0120162609243499","0.00610180523091694","0","0.00132056620976417","0.00950340618500151","0","0.0136562469311326","0.131599483642933","0.0417051890435665","0","0","0.0162230830933523","0.00285268049575306","0","0.004996847741726","0","0.0157358118584002","0.00760511901840766","0.0104761554782434","0.0295916369721187","0.0108780945902748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0273478800549387","0","0","0.0275458687676725","0.0391881685059777","0.000507537129506368","0.00124728568530504","0","0.0147241749976186","0","0.00383298603410596","0.00771471722140911","0","0.00496577646854518","0","0.0240812256572296","0.0481566226234643","0","0","0","0","0","0","0","0.0454813209139337","0","0.00474561882853088","0","0.015826172173665","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0310445082462212","0"
"6","MGYG000001239","SRR1761693_bin.7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","GCA_025147485.1","95.0","Bacteroides uniformis","98.38","0.808","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","99.87","0.13","4418119","143003","0.981953958333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0","0","0.0236153561113352","0.000194055272995877","0",NA,"0.0324994170600282","0.00785275132346826","0","0","0.00827749266819486","0.0080442057509329","0.0140040975127746","0","0.000134724824492727","0.0993596706255686","0.0184802596611189","0","0","0.0410022665899745","0","0","0","0","0","0.0778956367035079","0","0","0.000208393118678797","0",NA,"0.054312147428714","0.000124996545607268","0","0.0130804217560435","0.000526244819393742","0","0","0","0","0","0","0","0.0104303464280199","0.00333869533241534","0.00582418726751828","0.0397717860107422","0.00557051616842584","0.0019873868978025","0","0","0.00673097735961272","0.153799467345821","0.0140875210708559","0.0267589917834418","0.00729561842094904","0.0310132790022753","0","0.000561470972091469","0.0511021108772647","0.0665294509524278","0.0141228222764477","0.0306355887736996","0","0","0","0","0.000815476283421447","0","0","0","0","0.00155703570146954","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00272331757673042","0.000326000174373564","0.00208931505003887","0.0104379530642747","0","0.00115896174353236","0.010098332644917","0.010568769864477","0.00517714896374726","0.00194201951347236","0.0207219045327323","0.00285408051817639","0.0496283924647829","0.00232348861657146","0","0.00237258151262558","0.00283079339105621","0","0","0.00201419931409704","0","0","0","0.004431551198184","0.000458515123605239","0","0","0","0","0","0","0.00819303426537581","0.00669136328256496","0.0178454082284072","0.0136969726996851","0.0652651337512996","0.0584923511092171","0.00837108731353048","0","0","0.000653844079688761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","MGYG000001437","SRR17643478_bin.2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","GCF_000012825.1","95.359","Phocaeicola vulgatus","99.12","0.875","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","Phocaeicola dorei, 95.359, 95.65, 0.822","N/A","N/A","N/A","N/A","100","0.24","4546040","84523","0.98409075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0.000178577832959886","0","0.0311867164051684","0","0",NA,"0.0325631079138664","0.0116277154787006","0","0","0.0204068953437079","0.0314234656954329","0.0153758429695958","0","0.000177372964271563","0.0894097518019445","0.0344987111269212","0","0","0.012885979953195","0","0","0","0","0","0.0609663044014202","0","0","0","0",NA,"0.0289474404821948","0","0","0.0347299556295363","0","0","0","0","0","0","0","0","0.0069036605548961","0.00364837876648791","0.00305172607040225","0.00874865761039251","0.0151431460299302","0.00124808722964045","0","0.00648593708910325","0.00594258101982997","0.0137846582259386","0","0.0233732574335202","0.00347569876916617","0.0368148488933994","0.000426419002877636","0.000528360146828491","0","0.199599552138066","0.00818214379474447","0.0120209659673939","0.00638529098389539","0.00122352227554834","0","0","0.00138470711930809","0","0","0","0","0.000641832139515744","0","0","0","0","0","0","0","0.000627689981964893","0","0","0","0","0","0.0019062967090068","0","0.000797475325546852","0.00858499232994767","0","0.000551684997284554","0.00283144585563207","0.0048883029735649","0.0075122662127409","0.00957650546149533","0.032678833207725","0.101432985014387","0.105122818571987","0.000876295432305667","0","0.00444798943187419","0.00113608988225196","0","0","0.0052217972248168","0.000612624559098448","0","0","0.00828164962400472","0","0","0.0150756787670585","0","0","0","0","0","0.00486889633010183","0.0103511015769452","0.0206021488516215","0.0434571906336588","0.0162608320395725","0.0135680520410025","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0021825888732815","0","0","0","0","0","0"
"8","MGYG000001420","SRR17643466_bin.26","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900557035","GCA_900557035.1","95.0","Prevotella sp900557035","96.3","0.646","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","Prevotella copri_A, 95.0, 95.05, 0.87","N/A","N/A","N/A","N/A","70.99","0.08","2253190","11777","0.9428625","0.029037563558703","0.00573354887984428","0.0100674409311264","0.0206721241921006","0.00809027401547244","0.0164679526716593","0.0110399950578237","0.0491985747131518","0.0126360029903208","0.0177617607304262","0.052272875496928","0.0220512072469748","0.0188944140802144","0.0274014508444341","0.00641648681532728","0","0.00660497110213658","0.0381246767144241","0.0117930828553887","0.0095997942972067","0.0132166086968293","0.00327056979478776","0.0251600543401647","0","0.00766245669965075","0.0480336522819843","0.00946778733537628","0.00781575309373524","0.0082567505064437","0.0569715442482396","0.00104473104793736","0.029796375706048","0.0145003751868665","0.089922650736423",NA,"0.00275483405449321","0.0262920489917604","0","0.0591359959390069","0.0363495683425836",NA,"0","0","0.00684408632378641","0.0382337331324632","0","0","0","0.038340280650929","0.0370668398025611","0","0","0.0193278069469529","0.0184990780861291","0","0.00952927213116818","0.00321104944680225","0.0114501096345355","0.00579932762392478","0.0221404541968908","0","0.0176289830502018","0.00330608579850112","0.01204324923352","0.0045079543916556",NA,"0","0.0394830086601338","0.0144738326345156","0","0.0167077712306776","0.0198629476575091","0.0926884836327286","0.0506609411040408","0.0134018241800961","0.00616559167111917","0.0210996819279509","0","0","0.00530020875995253","0.0111058108736517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00411934019647866","0.00191264891834768","0","0.0865325333735265","0.0016578382139755","0.00781810810410893","0.00122850305169318","0.00221807171876102","0.00942532130549585","0.00330344447785971","0","0","0.0156025404642137","0.00252658469242989","0","0","0.0135859134371865","0.00430334364968173","0.00178480320828506","0","0","0.0168163358691118","0.0156537003032795","0.00304059986665744","0.0181899532747419","0","0","0.00701903363791822","0","0","0.0211150255631962","0","0.000457045312529684","0.00206906979353","0","0","0","0","0.0113281979820648","0.0254492637316358","0.0700424175023971","0","0.000596324999475477","0.00334558483492778","0.0340352846392077","0","0","0.0101027706303644","0","0","0.00183860092313575","0.00632613262457189","0.0797665387553109","0","0","0","0","0","0","0","0.0451002490630144","0.00775185202153775","0.00404921443815066","0.00613606672479728","0.0194224597021518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","MGYG000001476","SRR17643523_bin.9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp000433355","GCA_000433355.1","95.0","Cryptobacteroides sp000433355","97.94","0.861","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","98.67","0.62","3565407","95859","0.977228644444444","0.020847999228662","0","0.0296342684689606","0","0.0235128026354736","0","0","0","0.0106870963636861","0.00654094667935654","0","0","0.0114267111000097","0","0","0.0284177652183054","0","0","0.027762079416902","0","0.00810806990143598","0.0250015666635262","0.0224503304936966","0","0.00751421221495521","0","0.019445610081133","0","0.0256867914188873","0.00377048307987304","0","0.00477253260413256","0.00436007223996517","0.00102903716103171",NA,"0.00599118519225087","0.000627812788089004","0","0","0.0011774768857684",NA,"0","0","0.0194023104227171","0.000861791615194459","0","0","0","0.00931352590907203","0.00659660392329726","0","0","0.0142655062874446","0.0181891250121861","0","0.0292469496782756","0.00720801504400961","0.047340352296215","0.0493153072890644","0.0246246870136973","0","0.0104932942685381","0.011647956437409","0.000834936399901314","0.00667850589229345",NA,"0","0.00251937498890045","0.0404630495565466","0","0.0108333819696312","0.0315912203631412","0","0","0","0.0267708119389739","0.00836528315518201","0","0","0","0.00727558005245678","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00256360694608577","0.00199306757012142","0.00476574007429019","0.0104748260051433","0.061679836309433","0.00853260155410567","0.00175543016938065","0.00730169262985581","0","0","0.0184265551540876","0.00114542728850302","0","0.00170280980529889","0.000849315878838196","0","0","0.00450691760171657","0.00162289436712611","0.0123415102594452","0.0086646952405891","0.00876982622474774","0","0.00438354912094735","0","0","0.0052353520646147","0","0","0","0.00969402344590399","0","0","0","0","0","0","0","0","0.0200679251964956","0","0","0","0.0369719589610857","0","0","0","0","0.0162154080649342","0.00664015157513442","0.000711980170412392","0.0168638779891223","0.00224947486637865","0","0","0","0","0","0","0","0","0.0148251538710862","0.0140217275859677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","MGYG000000006","ERR11604930_bin.6","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Succinivibrionaceae","Succinivibrio","Succinivibrio sp000431835","GCA_000431835.1","95.0","Succinivibrio sp000431835","97.87","0.9","N/A","N/A","N/A","N/A","N/A","N/A","ani_screen","classification based on ANI only","N/A","N/A","N/A","N/A","N/A","97.69","0.18","2423262","88179","0.978530568965517","0","0.0227729150548996","0.197292930733774","0","0","0.0473389447687403","0","0","0","0.0399373919507446","0.0281995803407541","0.00723735304999701","0","0","0","0.033218978086326","0.0307117797232906","0.0133399452037435","0.028359515777287","0.013320691742417","0","0.0139725932295126","0.0411193901069571","0.114873658925164","0.00240082596068422","0","0.00512211672413864","0.00258182110900525","0","0.013846863291296","0","0.0107441368721131","0.00220366528429375","0.00222902558350695",NA,"0.0015687399255733","0.000836563354276124","0","0.0209988599514282","0.0333141105438451",NA,"0","0","0.00255230953171671","0.0124762942684821","0","0","0","0.0305247216587367","0.00541542369287921","0","0","0","0.00932227744436936","0","0.0281119575325119","0.00402442762007343","0.0108928383739312","0.00986557290745831","0.0268615401106237","0","0.00908728352754573","0.00342039230043076","0.0107666329799384","0.0027655808926366",NA,"0","0.10784374166157","0.00673611738128061","0","0.073217325634628","0.00310733599241268","0.0216392850330474","0.0529317782512969","0.00649413058059186","0.00564444924701211","0.00255343388692823","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00845958792655932","0.00194326459742345","0","0.0009263121665323","0.0422326045711981","0","0.0100290538834803","0.00111048736872861","0","0","0","0","0.0121210709670848","0","0","0.0263792004198508","0.00167274752046695","0.00120557082775609","0.00168461282971146","0.0378643467216587","0","0.0069947109339656","0.0717538110737457","0.00653983416073172","0","0","0","0","0","0.00747051395414466","0","0","0","0.00141843798707213","0","0","0","0","0.0171007027490114","0","0","0","0","0.00228255752993133","0","0","0.00582684064460039","0.0020970429857502","0","0","0","0","0","0","0","0","0","0","0","0.0112746681827768","0.00574844987933579","0","0","0.0186999635858224","0.00439967594401174","0","0","0.025682758082901","0","0.310570069367817","0","0","0.0209000905436388","0","0","0","0","0","0.0259652541458272"
