Genome	original_bin	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references.genome_id.species_name.radius.ANI.AF.	msa_percent	translation_table	red_value	warnings	completeness	contamination	length	N50	centrality	ERR11604928	ERR11604929	ERR11604930	ERR11604931	ERR11604932	ERR11604933	ERR11604934	ERR11604935	ERR11604936	ERR11604937	ERR11604938	ERR11604939	ERR11604940	ERR11604941	ERR11604942	ERR11604943	ERR11604944	ERR11604945	ERR11604946	ERR11604947	ERR11604948	ERR11604949	ERR11604950	ERR11604951	ERR11604952	ERR11604953	ERR7738143	ERR7738158	ERR7738166	ERR7738182	ERR7738185	ERR7738196	ERR7738215	ERR7738229	ERR7738234	ERR7738253	ERR7738267	ERR7738276	ERR7738277	ERR7738353	ERR7738433	ERR7738514	ERR7738515	ERR7738537	ERR7738545	ERR7738546	ERR7738547	ERR7738549	ERR7738553	ERR7738558	ERR7738562	ERR7738578	ERR7738580	ERR7738594	ERR7738597	ERR7738604	ERR7738608	ERR7738611	ERR7738612	ERR7738616	ERR7738620	ERR7738622	ERR7738624	ERR7738629	ERR7738630	ERR7738665	ERR7738937	ERR7738938	ERR7745402	ERR7745596	ERR7745787	ERR7745819	ERR7745831	ERR7745836	ERR7746398	ERR7746440	ERR7747782	SRR1761676	SRR1761677	SRR1761678	SRR1761679	SRR1761680	SRR1761681	SRR1761682	SRR1761683	SRR1761684	SRR1761685	SRR1761686	SRR1761687	SRR1761688	SRR1761689	SRR1761690	SRR1761691	SRR1761692	SRR1761693	SRR1761694	SRR1761695	SRR1761696	SRR1761697	SRR1761698	SRR1761699	SRR1761700	SRR1761701	SRR1761702	SRR1761703	SRR1761704	SRR1761705	SRR1761706	SRR1761707	SRR1761708	SRR1761709	SRR1761710	SRR1761711	SRR1761712	SRR1761713	SRR1761714	SRR1761715	SRR1761716	SRR1761717	SRR1761718	SRR1761719	SRR1761720	SRR1761721	SRR17643452	SRR17643456	SRR17643458	SRR17643459	SRR17643460	SRR17643462	SRR17643466	SRR17643467	SRR17643474	SRR17643478	SRR17643479	SRR17643482	SRR17643504	SRR17643506	SRR17643507	SRR17643508	SRR17643518	SRR17643520	SRR17643521	SRR17643523	SRR17643531	SRR17643652	SRR17643657	SRR17643662	SRR17643790	SRR17643792	SRR17643794	SRR17643804	SRR17643809	SRR17643913	SRR17643916	SRR17643919	SRR17643922	SRR17643924	SRR17643927	SRR17643933	SRR17643938	SRR17643958	SRR17643968	SRR17643989	SRR17644085	SRR8732217	SRR8732218	SRR8732219	SRR8732220	SRR8732221	SRR8732222	SRR8732223	SRR8732224	SRR8732225	SRR8732226	SRR8732227	SRR8732228	SRR8732229	SRR8732230	SRR8732231
MGYG000001526	SRR17643919_bin.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B	GCF_009494135.1	95.823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_B	97.52	0.785	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_025151535.1, s__Prevotella copri, 95.849, 96.22, 0.726; GCF_015074785.1, s__Prevotella sp015074785, 95.849, 96.08, 0.791; GCA_934191715.1, s__Prevotella sp934191715, 95.7522, 95.83, 0.714	N/A	N/A	N/A	N/A	99.93	0.06	3492750	46296	0.964661769230769	0	0	0.0417770596450468	0.0567261378117332	0	0.0671390043310279	0	0	0	0	0	0.0419901867916463	0	0.0963999948607689	0	0	0	0	0	0	0	0	0.0843155383775622	0	0	0.0551309768157094	0	0.0276594387431681	0.0344869001970432	0.0506610892127679	0	0.108606851252003	0.0414993064808044	0.0824887423980888	NA	0.00520326607604476	0.0396455454177534	0	0.0796493089589518	0.0667855647403286	NA	0	0.591212812085957	0.0180495156079763	0.132141632348989	0.433380800693466	0	0.235125360520113	0	0.0625363478184518	0	0.00411361967773966	0.0979915322538855	0.0374424365244201	0	0.022824387857779	0	0	0	0.0720970653739295	0	0.0474759166550436	0.0179890653817022	0.148467471296133	0.0262979583811713	NA	0	0.0453141251234647	0.0276355147231354	0.444327945406833	0.0529708775646286	0.0552799295859411	0.0524774845113389	0.0583442920519987	0.0829991465999805	0.0208384800441511	NA	0	0	0	0.0332885828088025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0693426298084122	0	0	0	0	0.0457209924434868	0	0	0	0	0	0	0	0.0450794590988581	0	0	0	0.0758252290958887	0	0.213016304789968	0.0358046054040333	0.0513417688334815	0	0	0	0	0	0.0605276616652412	0	0	0	0	0	0.0310277563543747	0.146886718073819	0.020676061239345	0	0.0440425127722667	0	0	0	0	0.0159251260178766	0	0.0482247917360021	0	0.00691520526949506	0	0	0.12030349562625	0	0.0716199656675548	0.0492343277001969	0	0	0	0	0.0698705645085583	0.016061930374442	0.00649057401222384	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000000508	ERR7738578_bin.79	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GCF_000010425.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	97.87	0.863	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	99.96	0.09	2123377	62344	0.9839788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.0241753016843918	0	0	NA	0	0	0	0	0.0299425017714384	0	0.01393896697658	0	0	0.0142227038300382	0.0131481058514498	0	0	0.0426110176072459	0	0	0	0	0	0	0	0	0	0	NA	0.0270874447272357	0	0	0	0	0	0	0	0	0	NA	0	0.0464131861852465	0.0280295404133538	0.00803622828811473	0	0	0.0260545455026092	0	0	0.0121608169147022	0	0	0	0	0	0	0	0	0	0.0191439916839868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0941854635174699	0.0177133112855358	0	0	0	0.206742687068213	0.0465020945066059	0.16413674893364	0.0997222914158589	0.0613588209859121	0.0669604471846995	0.33212472227578	0.033261886522958	0.0407747999328947	0.0167973124047238	0	0.0617456883864354	0.205875980539932	0.286948415014677	0	0	0.00636775499447815	0.224928850091835	0.378212085391538	0	0.28358143450141	0.286610893287886	0.0235928954986402	0	0	0.117689050630673	0.132502425145818	0.0875203563420105	0	0.138112645435602	0.0435763309992303	0.0436552751268165	0.0791041069207147	0.0300398535987654	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000001154	SRR1761676_bin.11	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCA_025148125.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	97.68	0.819	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	97.38	0.4	3586768	39919	0.976810807692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.0199758904662593	0	0	NA	0.00797265758578165	0	0	0	0.0140461278349446	0.00728968465444784	0.0102854575427647	0	0	0.0082096010330963	0.00720023993454333	0	0	0.00806375825933671	0	0	0	0	0	0.0272921003077795	0	0	0	0	NA	0.00932748594553233	0	0	0	0	0	0	0	0.00537708440972427	0	NA	0.0371116939560154	0.0210358433555878	0.0171094603750528	0.0171015400393029	0.0294128666419475	0.0258797015819591	0.0238021298014617	0.0302634530763388	0.12779110993906	0.0327225407374412	0.0195645522131349	0	0.00762254324886646	0	0.0120417007617865	0.0222343108061042	0.0235083111264167	0	0	0.0633245649703334	0.015196100044332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219316002484533	0.0191497538465646	0.0138869493221895	0.0262496590287418	0.014509380081125	0.0200447191170832	0.0557060528864234	0.0371976318712396	0.0244661623823417	0.0375386673485189	0.0178957373276751	0.0433596283210986	0.046555328153051	0.0428085780876299	0.0443745637577962	0.0201714683668953	0.00683158757253826	0.024669639331402	0.0104205899325612	0.0911210297991702	0.0246134963588996	0.0372663556316522	0.0125342193116742	0.0273520604828431	0.00549877130090244	0.0140577037056366	0.0322348482699637	0.0436597393419112	0.0116217918368623	0	0.0390863680352377	0.0638120304428846	0.0424167016262882	0.0290855534090609	0.0126547889431699	0.0351217752904027	0.0173440652352675	0.0140188072622075	0.0396238091897516	0.201842460074589	0.0372980165567519	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000000332	ERR7738515_bin.43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215	GCF_009495355.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900313215	97.33	0.811	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	99.82	4.33	3305406	45661	0.972799882352941	0	0	0	0	0	0	0	0.0297579631122607	0	0	0	0.0516542907773551	0	0.0523025560676456	0	0.0227728216818249	0	0.0386121676959853	0	0	0.0305038900520035	0	0	0	0	0.0227864261751267	0	0	0	0	0	0	0.0154817584506186	0.038012663116566	NA	0	0	0	0.089855958384375	0.0615654479212636	NA	0	0.222286424968808	0	0.089574640054794	0	0	0	0.0255814471247161	0	0	0	0.0468715191947008	0.0346935884624746	0	0	0	0	0	0.0355692907177728	0	0.0391975735095071	0	0	0	NA	0	0.0450110838888237	0.0442453869444984	0	0.0443531256087959	0.0282587412437523	0.0775914115579441	0.0467905025198094	0.166711011738433	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284478284420331	0	0	0	0	0	0	0	0	0	0.0465478478653312	0	0	0	0.073408185829217	0	0	0	0	0	0.0573107279757952	0	0.0143651945767628	0	0	0.00823038545607182	0	0	0.0177259879959608	0	0	0	0	0	0	0	0	0.0551466272435433	0.064366688476785	0	0	0	0.0110158011151035	0	0	0	0	0	0	0.0337429212183743	0	0	0	0	0	0	0	0	0.0390584401262559	0.00966984706589102	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000001437	SRR17643478_bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	GCF_000012825.1	95.359	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.12	0.875	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_013009555.1, s__Phocaeicola dorei, 95.359, 95.65, 0.822	N/A	N/A	N/A	N/A	100	0.24	4546040	84523	0.98409075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.0369706822320006	0	0	NA	0.0419835716614472	0.014014226546911	0	0	0.0310238838242044	0.0412561530328631	0.0173664100909069	0	0	0.113206022521834	0.0427688139550698	0	0	0.0147902950222958	0	0	0	0	0	0.0792168147139444	0	0	0	0	NA	0.0364567254439614	0	0	0.0435935007655146	0	0	0	0	0	0	NA	0	0.0101974859035108	0	0	0.0105612985986574	0.0189327652788877	0	0	0.00766022355171997	0.00711250493907829	0.015132171055222	0	0.0296338782014297	0	0.0529298338953365	0	0	0	0.262985346553497	0.00998982342607967	0.0157675447068165	0.00858554321525472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00882061940504986	0	0	0	0.0056445969082123	0.00968276865710209	0.00996651106074975	0.0362345126192331	0.130566539878451	0.112998927356403	0	0	0.00520798705299302	0	0	0	0.00612653552318342	0	0	0	0.0099226579288325	0	0	0.0175588749683899	0	0	0	0	0	0.00537949520596021	0.0121748935613478	0.02483259699142	0.0458726264949384	0.0182982612870716	0.0148193734868528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000001239	SRR1761693_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCA_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.38	0.808	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	99.87	0.13	4418119	143003	0.981953958333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.0277561225185514	0	0	NA	0.0412687913564805	0.00952662888347073	0	0	0.0125532147758483	0	0.0157033740637061	0	0	0.125129331316482	0.0223770473707189	0	0	0.047582724446583	0	0	0	0	0	0.101749852655734	0	0	0	0	NA	0.0698493125077449	0	0	0.0161527500412458	0	0	0	0	0	0	NA	0	0.015474028777185	0	0.00884130114223768	0.047840004731971	0	0	0	0	0.0080377924888914	0.170343809060695	0.0207738348384143	0.0339775817754165	0.0098066438106521	0.0445731312369404	0	0	0.0671176310637621	0.0870544133514111	0.017058214429329	0.0396717580232663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107134072843456	0	0	0.0106137083025149	0.0122557425621662	0.00668600719075605	0	0.022937579098588	0	0.0528773112625161	0	0	0	0	0	0	0	0	0	0	0.00524526899589113	0	0	0	0	0	0	0	0.00821709329830982	0.00747328683235491	0.0210192956414183	0.0163380401098628	0.0696031287919865	0.0661812211426317	0.00907930490958572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000001302	SRR1761705_bin.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900546535	GCF_009494395.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900546535	96.38	0.847	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	72.02	0.52	2754199	9140	0.9792935	0.0338727295152653	0	0	0	0	0.0568637651331494	0.0244075218583489	0	0	0.0441354727160295	0.0623510914894607	0	0	0	0	0	0	0.0409283204824186	0	0	0.0276072956510704	0	0	0	0.0282039087047828	0	0	0.0351188677780849	0.0508993572721649	0	0.00602699559636086	0	0.0380213231605354	0.0335076825506205	NA	0.00630725332774213	0.027417367082555	0	0.047916307366448	0.032907358914195	NA	0	0	0.0116647037859558	0.0398027606134329	0	0	0	0.0186888089949264	0.0702103662905141	0	0	0.0414076054222117	0.0635513176794228	0	0.014913165252122	0	0.0173782978261875	0	0.0350821163339194	0	0.0802759403847371	0	0	0	NA	0	0.0309612142673747	0.0333662641043006	0	0.0297219058848391	0.110445885923376	0.0454223352806844	0.0386026974749692	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139331200811772	0	0.00960052932370708	0	0	0.01412362765273	0	0.0178933937207491	0.190075658284561	0.0625956497281717	0	0	0	0	0	0	0	0.0292295263857251	0.0123127024853829	0.0182578206193471	0.0493274440229631	0.022229823955633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335630311851955	0	0	0.0354923938185728	0.045672562418462	0	0	0	0.0184448299890962	0	0.00449146010828213	0	0	0.00578021044031604	0	0.0320095160205087	0.0554626368619494	0	0	0	0	0	0	0	0.0525371916287527	0	0.00518084802712445	0	0.02105965551248	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000001234	SRR1761692_bin.6	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	GCF_010509575.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	97.56	0.9	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	99.86	0.2	2378758	64227	0.971311333333333	0.0160456446559602	0	0.00686579685944824	0.0126884072184023	0	0	0	0	0.0106115798352246	0	0	0	0.00986105701277126	0	0.00734328225106318	0.00952783222460029	0	0	0.0137953323039829	0.0308889113636653	0.0210410894890001	0	0	0	0	0	0	0.00584937995489603	0	0.017307860154374	0.007374791623688	0	0.00713902898626519	0	NA	0	0	0.0291008070032483	0	0	NA	0.0103262904828122	0	0	0	0	0.0136025080693967	0.0108959730101544	0	0	0	0.0145171015773505	0	0.00641091918153171	0	0	0	0	0	0	0.00606785025508691	0.00631979737874594	0	0.0076348702193907	0.00463069235666834	NA	0.0201834786256746	0	0	0	0	0	0	0	0.00736032805181474	0	NA	0	0.0242033435936939	0.0122857710769825	0.0956103218649994	0	0.112776736061129	0.139732782189335	0.0580471935144299	0	0	0.0316947707217654	0.0322967207787552	0.129618567716451	0.0109886379785265	0.0567357454104208	0.0160475408240254	0.094642512826265	0.0639500383913935	0	0	0.0279613298890062	0.0162297495394881	0.016003338307475	0	0	0	0	0.0125492403693926	0	0	0	0	0	0	0.0121481452391253	0	0	0	0	0	0	0	0	0	0	0	0.0242529675453366	0	0	0.0165056299681938	0	0.0318748597197056	0.0193546154980164	0	0.0337337283104973	0.015707138595101	0.0200487955442422	0	0.0212233537488351	0.039106546330177	0.109579661036293	0.0158465874977604	0	0	0.00599789147792042	0.054105023642543	0.0357782739306695	0.0321821466058088	0.0510837959378844	0.0179271820403819	0	0.00854511658575293	0.0219409530284943	0.068806639879476	0.0108357961715876	0	0.0297748061810008	0	0.0391580801361304	0	0.0557837790675519	0.0601242688939577	0.00616379560485755	0.0383190069621965	0.0723859118812104	0.0239745041452816	0.0370171985712798	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000001228	SRR1761691_bin.18	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GCA_000020605.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.26	0.873	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900317585.1, s__Agathobacter sp900317585, 95.0, 95.21, 0.737	N/A	N/A	N/A	N/A	99.51	0.01	2352664	90222	0.972239770491803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.0652595422640093	0	0	NA	0.00908481543748175	0	0	0	0	0	0	0	0.0153578088536043	0.0116349709023051	0	0.0232145045247395	0	0.0237097327734103	0	0	0	0	0	0.00975468187035969	0	0	0	0	NA	0.0655614116160599	0	0	0.0148330226000358	0	0	0	0	0	0	NA	0	0.0989001360344356	0	0	0.0804072528516534	0.057042026403011	0.0252187547786618	0.0432938014298862	0	0	0	0.0123057607025347	0	0	0	0.070781124546626	0.0872533534521762	0	0.0175652417941339	0.0316853905129626	0.0510603913804024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195723605384547	0.243639957591356	0	0.189828784813024	0	0.0109691818688898	0.022734042143906	0.0854677051979033	0.00658225349508335	0.0155327476344153	0	0	0.0061256918305296	0.0164152100859349	0.0648872922944392	0.0347693386291544	0.0124889625309331	0	0.00388436277058491	0.0226652739750768	0.123672251666618	0.0524474883011366	0.0568814187540153	0.0405435228791961	0	0.00458839274008769	0.0530313888655678	0.0415271841660602	0.048248751715658	0	0	0	0	0.063988435189585	0.0147004774660202	0.0591125202041498	0.00724213746998337	0.00371161956019505	0.00718212007693462	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0
MGYG000000006	ERR11604930_bin.6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	GCA_000431835.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835	97.87	0.9	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A	97.69	0.18	2423262	88179	0.978530568965517	0	0.0348895789976973	0.291640839876311	0	0	0.0663128218484042	0	0	0	0.0618437104267051	0.0513061916840202	0	0	0	0	0.0474505823791185	0.0402485873175737	0.0205507283222268	0.0380682531725785	0	0	0.020416679546046	0.0627630844928432	0.156759450568566	0	0	0.00712419693509805	0	0	0.0179774108130956	0	0.0144425055275053	0	0	NA	0	0	0	0.0240296384925509	0.0406847330224583	NA	0	0	0	0.0144467932426227	0	0	0	0.0423874175198361	0.00707586915447627	0	0	0	0.0135644303257937	0	0.0413915385614158	0.00579527418027793	0.0166184706332888	0.0135197481289081	0.0363638622481548	0	0.0139686451972825	0.00475639698318666	0.0146043169653243	0.00382956750129891	NA	0	0.14586132951358	0.00964669954998702	0	0.109400255088054	0	0.024821772287659	0.0633885133206309	0.00994100165827677	0.00820105759029327	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161158523858747	0	0	0	0.0617086388223077	0	0.0132799562250963	0	0	0	0	0	0	0	0	0.0495613985199345	0	0	0	0.0629537168845185	0	0	0.113485280423511	0.00792929692422645	0	0	0	0	0	0.00967093367243374	0	0	0	0	0	0	0	0	0.0216794418896218	0	0	0	0	0	0	0	0.00721168585475997	0	0	0	0	0	0	0	0	0	0	0	0	0.0127116182749271	0.00708618389415265	0	0	0.0245325374994689	0.00477360993005259	0	0	0	0	0.318966508830873	0	0	0	0	NA	0	0	0	0
