"Genome"	"original_bin"	"classification"	"fastani_reference"	"fastani_reference_radius"	"fastani_taxonomy"	"fastani_ani"	"fastani_af"	"closest_placement_reference"	"closest_placement_radius"	"closest_placement_taxonomy"	"closest_placement_ani"	"closest_placement_af"	"pplacer_taxonomy"	"classification_method"	"note"	"other_related_references.genome_id.species_name.radius.ANI.AF."	"msa_percent"	"translation_table"	"red_value"	"warnings"	"completeness"	"contamination"	"length"	"N50"	"centrality"
"MGYG000000001"	"ERR11604928_bin.3"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900556015"	"GCA_900556015.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900556015"	"96.65"	"0.747"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	84.74	4.7	1603930	10703	0.969117
"MGYG000000002"	"ERR11604929_bin.11"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Duodenibacillus;s__Duodenibacillus sp900767875"	"GCA_900767875.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Duodenibacillus;s__Duodenibacillus sp900767875"	"99.27"	"0.901"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	90.14	0.38	1764726	6795	0.980414
"MGYG000000003"	"ERR11604929_bin.14"	"d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"GCA_934725225.1"	"95.0"	"d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp934725225"	"93.91"	"0.826"	"d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__"	"taxonomic classification defined by topology and ANI"	"classification based on placement in class-level tree"	"GCA_945873775.1, s__Treponema_D sp945873775, 95.0, 91.65, 0.843; GCF_000195275.1, s__Treponema_D succinifaciens, 95.0, 91.55, 0.812; GCA_002449305.1, s__Treponema_D sp002449305, 95.0, 91.31, 0.768; GCA_002404895.1, s__Treponema_D sp002404895, 95.0, 78.72, 0.171; GCF_900167025.1, s__Treponema_D berlinense, 95.0, 78.2, 0.152; GCA_017935745.1, s__Treponema_D sp017935745, 95.0, 78.01, 0.258; GCF_016117655.1, s__Treponema_D peruense, 95.0, 77.94, 0.22; GCA_934691925.1, s__Treponema_D sp934691925, 95.0, 77.81, 0.133; GCA_017534445.1, s__Treponema_D sp017534445, 95.0, 77.66, 0.077; GCA_016294035.1, s__Treponema_D sp016294035, 95.0, 77.63, 0.133; GCA_022768865.1, s__Treponema_D sp022768865, 95.0, 77.44, 0.179; GCA_017961705.1, s__Treponema_D sp017961705, 95.0, 77.31, 0.063; GCA_024690865.1, s__Treponema_D sp024690865, 95.0, 77.29, 0.024; GCA_902796985.1, s__Treponema_D sp902796985, 95.0, 77.28, 0.012; GCA_018384055.1, s__Treponema_D sp018384055, 95.0, 77.15, 0.14; GCA_016293645.1, s__Treponema_D sp016293645, 95.0, 77.14, 0.116; GCF_014202035.1, s__Treponema_D rectale, 95.0, 77.1, 0.123; GCA_016281495.1, s__Treponema_D sp016281495, 95.0, 77.05, 0.082; GCA_017614295.1, s__Treponema_D sp017614295, 95.0, 76.95, 0.068; GCA_024696245.1, s__Treponema_D sp024696245, 95.0, 76.94, 0.082; GCA_024695625.1, s__Treponema_D sp024695625, 95.0, 76.92, 0.075; GCA_902766345.1, s__Treponema_D sp902766345, 95.0, 76.91, 0.068; GCA_017421145.1, s__Treponema_D sp017421145, 95.0, 76.89, 0.058; GCA_024400915.1, s__Treponema_D sp024400915, 95.0, 76.87, 0.15; GCA_902783155.1, s__Treponema_D sp902783155, 95.0, 76.85, 0.101; GCA_017450845.1, s__Treponema_D sp017450845, 95.0, 76.84, 0.022; GCA_003455655.1, s__Treponema_D sp003455655, 95.0, 76.81, 0.043; GCA_905236465.1, s__Treponema_D sp905236465, 95.0, 76.81, 0.053; GCA_024699235.1, s__Treponema_D sp024699235, 95.0, 76.8, 0.101; GCA_024687165.1, s__Treponema_D sp024687165, 95.0, 76.79, 0.184; GCA_902778325.1, s__Treponema_D sp902778325, 95.0, 76.74, 0.048; GCA_016282835.1, s__Treponema_D sp016282835, 95.0, 76.73, 0.097; GCA_002393835.1, s__Treponema_D sp002393835, 95.0, 76.72, 0.024; GCA_945877425.1, s__Treponema_D sp945877425, 95.0, 76.72, 0.145; GCA_016288205.1, s__Treponema_D sp016288205, 95.0, 76.71, 0.08; GCA_902772605.1, s__Treponema_D sp902772605, 95.0, 76.69, 0.042; GCA_016287815.1, s__Treponema_D sp016287815, 95.0, 76.69, 0.087; GCA_902772975.1, s__Treponema_D sp902772975, 95.0, 76.65, 0.075; GCA_002394465.1, s__Treponema_D sp002394465, 95.0, 76.65, 0.027; GCA_002309305.1, s__Treponema_D sp002309305, 95.0, 76.62, 0.089; GCA_017161305.1, s__Treponema_D ruminis, 95.0, 76.59, 0.053; GCA_016283615.1, s__Treponema_D sp016283615, 95.0, 76.55, 0.053; GCA_017476165.1, s__Treponema_D sp017476165, 95.0, 76.54, 0.072; GCA_023231445.1, s__Treponema_D sp023231445, 95.0, 76.52, 0.036; GCA_002394685.1, s__Treponema_D sp002394685, 95.0, 76.5, 0.089; GCA_017469785.1, s__Treponema_D sp017469785, 95.0, 76.5, 0.068; GCA_002369025.1, s__Treponema_D sp002369025, 95.0, 76.47, 0.041; GCA_002448445.1, s__Treponema_D sp002448445, 95.0, 76.45, 0.085; GCA_002373205.1, s__Treponema_D sp002373205, 95.0, 76.44, 0.075; GCA_024400955.1, s__Treponema_D sp024400955, 95.0, 76.42, 0.133; GCA_002396325.1, s__Treponema_D sp002396325, 95.0, 76.42, 0.06; GCA_017453705.1, s__Treponema_D sp017453705, 95.0, 76.37, 0.019; GCA_016296205.1, s__Treponema_D sp016296205, 95.0, 76.36, 0.068; GCA_017614655.1, s__Treponema_D sp017614655, 95.0, 76.36, 0.081; GCA_902797055.1, s__Treponema_D sp902797055, 95.0, 76.36, 0.053; GCA_018064785.1, s__Treponema_D sp018064785, 95.0, 76.29, 0.082; GCA_902766125.1, s__Treponema_D sp902766125, 95.0, 76.28, 0.085; GCA_022510905.1, s__Treponema_D sp022510905, 95.0, 76.27, 0.068; GCA_902785455.1, s__Treponema_D sp902785455, 95.0, 76.27, 0.053; GCA_002368605.1, s__Treponema_D sp002368605, 95.0, 76.21, 0.063; GCA_902803415.1, s__Treponema_D sp902803415, 95.0, 76.21, 0.048; GCA_017412405.1, s__Treponema_D sp017412405, 95.0, 76.2, 0.039; GCA_024697295.1, s__Treponema_D sp024697295, 95.0, 76.2, 0.063; GCF_014737315.1, s__Treponema_D zioleckii, 95.0, 76.19, 0.101; GCA_902773215.1, s__Treponema_D sp902773215, 95.0, 76.18, 0.017; GCA_017430385.1, s__Treponema_D sp017430385, 95.0, 76.15, 0.068; GCA_024691265.1, s__Treponema_D sp024691265, 95.0, 76.15, 0.039; GCA_002373325.1, s__Treponema_D sp002373325, 95.0, 76.14, 0.063; GCA_900767955.1, s__Treponema_D sp900767955, 95.0, 76.09, 0.065; GCA_017449265.1, s__Treponema_D sp017449265, 95.0, 76.07, 0.08; GCA_017613485.1, s__Treponema_D sp017613485, 95.0, 76.05, 0.07; GCA_002392405.1, s__Treponema_D sp002392405, 95.0, 76.02, 0.034; GCA_902803735.1, s__Treponema_D sp902803735, 95.0, 76.01, 0.075; GCA_016293495.1, s__Treponema_D sp016293495, 95.0, 76.01, 0.056; GCA_017484285.1, s__Treponema_D sp017484285, 95.0, 75.97, 0.053; GCA_017468745.1, s__Treponema_D sp017468745, 95.0, 75.97, 0.024; GCA_016282455.1, s__Treponema_D sp016282455, 95.0, 75.95, 0.072; GCA_024695475.1, s__Treponema_D sp024695475, 95.0, 75.85, 0.014; GCA_017464425.1, s__Treponema_D sp017464425, 95.0, 75.84, 0.06; GCA_017395545.1, s__Treponema_D sp017395545, 95.0, 75.79, 0.06; GCA_022640795.1, s__Treponema_D sp022640795, 95.0, 75.77, 0.027; GCA_002393865.1, s__Treponema_D sp002393865, 95.0, 75.75, 0.031; GCA_016297415.1, s__Treponema_D sp016297415, 95.0, 75.74, 0.051; GCA_024698325.1, s__Treponema_D sp024698325, 95.0, 75.73, 0.048; GCA_017960765.1, s__Treponema_D sp017960765, 95.0, 75.71, 0.058; GCA_017449285.1, s__Treponema_D sp017449285, 95.0, 75.68, 0.043; GCA_003447785.1, s__Treponema_D sp003447785, 95.0, 75.67, 0.056; GCA_017450535.1, s__Treponema_D sp017450535, 95.0, 75.65, 0.053; GCA_017938365.1, s__Treponema_D sp017938365, 95.0, 75.64, 0.027; GCA_022510925.1, s__Treponema_D sp022510925, 95.0, 75.62, 0.041; GCA_014804085.1, s__Treponema_D sp014804085, 95.0, 75.62, 0.029; GCA_902783245.1, s__Treponema_D sp902783245, 95.0, 75.57, 0.022; GCA_002399405.1, s__Treponema_D sp002399405, 95.0, 75.56, 0.022; GCA_002319875.1, s__Treponema_D sp002319875, 95.0, 75.55, 0.017; GCA_002314445.1, s__Treponema_D sp002314445, 95.0, 75.42, 0.039; GCA_002392275.1, s__Treponema_D sp002392275, 95.0, 75.38, 0.034; GCA_018064905.1, s__Treponema_D sp018064905, 95.0, 75.29, 0.053; GCA_905236315.1, s__Treponema_D sp905236315, 95.0, 75.13, 0.027; GCA_022510885.1, s__Treponema_D sp022510885, 95.0, 75.11, 0.017"	"59.32"	"11"	"0.99745"	"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"	73.75	0.61	2119817	5370	0
"MGYG000000004"	"ERR11604929_bin.9"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Duodenibacillus;s__Duodenibacillus massiliensis"	"GCF_900128485.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Duodenibacillus;s__Duodenibacillus massiliensis"	"99.0"	"0.988"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	69.95	3.56	1215312	2058	0
"MGYG000000005"	"ERR11604930_bin.4"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas kerstersii"	"GCF_008801935.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas;s__Comamonas kerstersii"	"98.97"	"0.993"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	71.19	0.57	2489593	2708	0
"MGYG000000006"	"ERR11604930_bin.6"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835"	"GCA_000431835.1"	"95.0"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835"	"97.87"	"0.9"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	97.69	0.18	2423262	88179	0.978530568965517
"MGYG000000007"	"ERR11604930_bin.9"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp000431495"	"GCA_000431495.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp000431495"	"95.28"	"0.949"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	60.5	0.59	1453513	2923	0
"MGYG000000008"	"ERR11604931_bin.3"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900550915"	"GCA_022009775.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-475;s__CAG-475 sp900550915"	"95.6"	"0.909"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	71.74	1.68	1140253	2337	0
"MGYG000000009"	"ERR11604931_bin.5"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"GCA_018385335.1"	"95.0"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp018385335"	"77.74"	"0.262"	"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__"	"taxonomic classification defined by topology and ANI"	"classification based on placement in class-level tree"	"GCA_944320305.1, s__Prevotella sp944320305, 95.0, 78.7, 0.29; GCA_016302965.1, s__Prevotella sp016302965, 95.0, 78.59, 0.288; GCA_944320355.1, s__Prevotella sp944320355, 95.0, 78.51, 0.235; GCA_905216025.1, s__Prevotella sp905216025, 95.0, 78.47, 0.275; GCA_944319915.1, s__Prevotella sp944319915, 95.0, 78.47, 0.278; GCA_944320235.1, s__Prevotella sp944320235, 95.0, 78.35, 0.27; GCA_944320105.1, s__Prevotella sp944320105, 95.0, 78.33, 0.255; GCA_900770025.1, s__Prevotella sp900770025, 95.0, 78.25, 0.235; GCA_944321645.1, s__Prevotella sp944321645, 95.0, 77.93, 0.257; GCF_016899955.1, s__Prevotella massiliensis, 95.0, 77.74, 0.267; GCA_900549175.1, s__Prevotella sp900549175, 95.0, 77.57, 0.255; GCA_017458125.1, s__Prevotella sp017458125, 95.0, 77.55, 0.235; GCA_017483185.1, s__Prevotella sp017483185, 95.0, 77.53, 0.188; GCA_017847725.1, s__Prevotella sp017847725, 95.0, 77.42, 0.19; GCA_900553965.1, s__Prevotella sp900553965, 95.0, 77.41, 0.218; GCA_022771265.1, s__Prevotella sp022771265, 95.0, 77.36, 0.146; GCA_900320255.1, s__Prevotella sp900320255, 95.0, 77.32, 0.147; GCA_017476785.1, s__Prevotella sp017476785, 95.0, 77.29, 0.228; GCA_022775105.1, s__Prevotella sp022775105, 95.0, 77.24, 0.194; GCA_017412705.1, s__Prevotella sp017412705, 95.0, 77.23, 0.157; GCA_945827565.1, s__Prevotella sp945827565, 95.0, 77.22, 0.193; GCA_022764085.1, s__Prevotella sp022764085, 95.0, 77.2, 0.148; GCA_902800435.1, s__Prevotella sp902800435, 95.0, 77.19, 0.235; GCA_900320045.1, s__Prevotella sp900320045, 95.0, 77.17, 0.145; GCA_017467705.1, s__Prevotella sp017467705, 95.0, 77.14, 0.178; GCA_002305505.1, s__Prevotella sp002305505, 95.0, 77.13, 0.161; GCF_002251245.1, s__Prevotella sp002251245, 95.0, 77.07, 0.157; GCA_017941345.1, s__Prevotella sp017941345, 95.0, 77.07, 0.119; GCA_945788545.1, s__Prevotella sp945788545, 95.0, 77.06, 0.111; GCA_905198745.1, s__Prevotella sp905198745, 95.0, 77.06, 0.126; GCA_002353485.1, s__Prevotella sp002353485, 95.0, 77.03, 0.151; GCA_017459445.1, s__Prevotella sp017459445, 95.0, 77.01, 0.164; GCA_900318795.1, s__Prevotella sp900318795, 95.0, 77.01, 0.137; GCA_002393705.1, s__Prevotella sp002393705, 95.0, 77.0, 0.15; GCF_013166575.1, s__Prevotella rodentium, 95.0, 76.98, 0.185; GCA_002342665.1, s__Prevotella sp002342665, 95.0, 76.97, 0.13; GCA_002342415.1, s__Prevotella sp002342415, 95.0, 76.95, 0.178; GCF_002933775.1, s__Prevotella sp002933775, 95.0, 76.92, 0.121; GCA_900318585.1, s__Prevotella sp900318585, 95.0, 76.92, 0.15; GCF_002251435.1, s__Prevotella sp002251435, 95.0, 76.9, 0.127; GCA_016290175.1, s__Prevotella sp016290175, 95.0, 76.89, 0.126; GCA_902780025.1, s__Prevotella sp902780025, 95.0, 76.88, 0.195; GCA_002363695.1, s__Prevotella sp002363695, 95.0, 76.86, 0.169; GCA_017623155.1, s__Prevotella sp017623155, 95.0, 76.85, 0.137; GCA_015060535.1, s__Prevotella sp015060535, 95.0, 76.84, 0.12; GCA_900316645.1, s__Prevotella sp900316645, 95.0, 76.8, 0.118; GCA_017940545.1, s__Prevotella sp017940545, 95.0, 76.8, 0.126; GCA_024695705.1, s__Prevotella sp024695705, 95.0, 76.78, 0.146; GCA_022771625.1, s__Prevotella sp022771625, 95.0, 76.76, 0.148; GCF_900107705.1, s__Prevotella sp900107705, 95.0, 76.76, 0.133; GCF_900110085.1, s__Prevotella sp900110085, 95.0, 76.75, 0.14; GCA_900770395.1, s__Prevotella sp900770395, 95.0, 76.73, 0.164; GCA_902782305.1, s__Prevotella sp902782305, 95.0, 76.73, 0.104; GCA_017389705.1, s__Prevotella sp017389705, 95.0, 76.71, 0.133; GCA_902768105.1, s__Prevotella sp902768105, 95.0, 76.69, 0.168; GCA_017623335.1, s__Prevotella sp017623335, 95.0, 76.69, 0.143; GCA_934190685.1, s__Prevotella sp934190685, 95.0, 76.68, 0.134; GCA_902770635.1, s__Prevotella sp902770635, 95.0, 76.67, 0.138; GCA_905233985.1, s__Prevotella sp905233985, 95.0, 76.67, 0.138; GCA_902799355.1, s__Prevotella sp902799355, 95.0, 76.65, 0.141; GCA_017474925.1, s__Prevotella sp017474925, 95.0, 76.65, 0.074; GCA_016291495.1, s__Prevotella sp016291495, 95.0, 76.64, 0.117; GCA_902762565.1, s__Prevotella sp902762565, 95.0, 76.63, 0.093; GCA_945869265.1, s__Prevotella sp945869265, 95.0, 76.63, 0.18; GCA_905233555.1, s__Prevotella sp905233555, 95.0, 76.63, 0.091; GCA_016286585.1, s__Prevotella sp016286585, 95.0, 76.61, 0.13; GCF_002251295.1, s__Prevotella sp002251295, 95.0, 76.61, 0.087; GCA_902760345.1, s__Prevotella sp902760345, 95.0, 76.6, 0.137; GCA_900318885.1, s__Prevotella sp900318885, 95.0, 76.56, 0.124; GCA_016291595.1, s__Prevotella sp016291595, 95.0, 76.54, 0.118; GCA_945614335.1, s__Prevotella sp945614335, 95.0, 76.54, 0.123; GCA_002371695.1, s__Prevotella sp002371695, 95.0, 76.52, 0.122; GCA_905235835.1, s__Prevotella sp905235835, 95.0, 76.51, 0.081; GCA_902776195.1, s__Prevotella sp902776195, 95.0, 76.48, 0.11; GCA_900314755.1, s__Prevotella sp900314755, 95.0, 76.41, 0.11; GCA_016291085.1, s__Prevotella sp016291085, 95.0, 76.41, 0.141; GCF_900115435.1, s__Prevotella sp900115435, 95.0, 76.38, 0.09; GCA_017470055.1, s__Prevotella sp017470055, 95.0, 76.38, 0.111; GCA_900321425.1, s__Prevotella sp900321425, 95.0, 76.38, 0.078; GCA_002354095.1, s__Prevotella sp002354095, 95.0, 76.35, 0.104; GCA_900316265.1, s__Prevotella sp900316265, 95.0, 76.33, 0.118; GCA_945637645.1, s__Prevotella sp945637645, 95.0, 76.33, 0.153; GCA_905236875.1, s__Prevotella sp905236875, 95.0, 76.29, 0.111; GCA_017410365.1, s__Prevotella sp017410365, 95.0, 76.28, 0.11; GCA_017449675.1, s__Prevotella sp017449675, 95.0, 76.28, 0.058; GCA_902769805.1, s__Prevotella sp902769805, 95.0, 76.28, 0.076; GCA_022511075.1, s__Prevotella sp022511075, 95.0, 76.27, 0.111; GCA_022782305.1, s__Prevotella sp022782305, 95.0, 76.24, 0.116; GCA_017458005.1, s__Prevotella sp017458005, 95.0, 76.23, 0.11; GCA_002353225.1, s__Prevotella sp002353225, 95.0, 76.22, 0.108; GCA_016283605.1, s__Prevotella sp016283605, 95.0, 76.19, 0.089; GCA_017554145.1, s__Prevotella sp017554145, 95.0, 76.18, 0.057; GCA_017474485.1, s__Prevotella sp017474485, 95.0, 76.15, 0.068; GCA_017645645.1, s__Prevotella sp017645645, 95.0, 76.11, 0.061; GCA_902779745.1, s__Prevotella sp902779745, 95.0, 76.06, 0.09; GCA_002353295.1, s__Prevotella sp002353295, 95.0, 76.06, 0.091; GCA_902785945.1, s__Prevotella sp902785945, 95.0, 76.03, 0.093; GCA_902800585.1, s__Prevotella sp902800585, 95.0, 75.94, 0.066; GCF_013166605.1, s__Prevotella muris, 95.0, 75.79, 0.087"	"67.47"	"11"	"0.97037"	"N/A"	89.42	3.96	2689313	9922	0
"MGYG000000010"	"ERR11604932_bin.17"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635"	"GCA_000433635.1"	"95.0"	"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635"	"95.94"	"0.926"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"ani_screen"	"classification based on ANI only"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	68	2.7	1178969	1883	0
