genome,threshold,cluster_method,comparison_algorithm,primary_cluster,original_secondary_cluster,secondary_cluster
ERR7738624_bin.43.fa,0.05000000000000005,average,fastANI,1,1_1,1_1
ERR7738630_bin.33.fa,0.05000000000000005,average,fastANI,1,1_1,1_1
ERR11604942_bin.5.fa,0.05000000000000005,average,fastANI,2,2_1,2_1
ERR7738143_bin.37.fa,0.05000000000000005,average,fastANI,2,2_1,2_1
ERR7738553_bin.90.fa,0.05000000000000005,average,fastANI,2,2_1,2_1
ERR7738608_bin.84.fa,0.05000000000000005,average,fastANI,2,2_1,2_1
ERR7738622_bin.4.fa,0.05000000000000005,average,fastANI,2,2_1,2_1
ERR11604952_bin.20.fa,0.05000000000000005,average,fastANI,2,2_2,2_2
ERR11604949_bin.18.fa,0.05000000000000005,average,fastANI,2,2_3,2_3
ERR7738624_bin.96.fa,0.05000000000000005,average,fastANI,3,3_1,3_1
ERR7738630_bin.84.fa,0.05000000000000005,average,fastANI,3,3_1,3_1
ERR7738253_bin.27.fa,0.05000000000000005,average,fastANI,4,4_1,4_1
ERR7738604_bin.29.fa,0.05000000000000005,average,fastANI,4,4_1,4_1
ERR7738353_bin.28.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738537_bin.46.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738553_bin.103.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738558_bin.65.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738580_bin.27.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738608_bin.137.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738624_bin.70.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
ERR7738630_bin.159.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
SRR1761720_bin.3.fa,0.05000000000000005,average,fastANI,5,5_1,5_1
SRR1761704_bin.13.fa,0.05000000000000005,average,fastANI,5,5_2,5_2
ERR11604942_bin.12.fa,0.05000000000000005,average,fastANI,5,5_3,5_3
ERR11604949_bin.17.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738253_bin.67.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738537_bin.21.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738580_bin.20.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738604_bin.107.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738608_bin.29.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738611_bin.147.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738624_bin.30.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7746440_bin.31.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
SRR1761700_bin.2.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
SRR1761705_bin.11.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
SRR1761715_bin.1.fa,0.05000000000000005,average,fastANI,6,6_1,6_1
ERR7738612_bin.26.fa,0.05000000000000005,average,fastANI,7,7_1,7_1
ERR7738624_bin.192.fa,0.05000000000000005,average,fastANI,7,7_1,7_1
ERR7746440_bin.26.fa,0.05000000000000005,average,fastANI,7,7_1,7_1
SRR1761717_bin.15.fa,0.05000000000000005,average,fastANI,7,7_1,7_1
ERR11604946_bin.9.fa,0.05000000000000005,average,fastANI,8,8_0,8_0
ERR11604929_bin.13.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
ERR7738229_bin.6.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
ERR7738545_bin.7.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
ERR7738553_bin.7.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
ERR7738580_bin.68.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
ERR7745836_bin.3.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
SRR17643792_bin.19.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
SRR17643938_bin.14.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
SRR17643958_bin.40.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
SRR17643968_bin.27.fa,0.05000000000000005,average,fastANI,9,9_1,9_1
ERR7738597_bin.101.fa,0.05000000000000005,average,fastANI,10,10_1,10_1
SRR17643506_bin.11.fa,0.05000000000000005,average,fastANI,10,10_1,10_1
ERR7738353_bin.39.fa,0.05000000000000005,average,fastANI,11,11_1,11_1
ERR7738545_bin.21.fa,0.05000000000000005,average,fastANI,11,11_1,11_1
ERR7738938_bin.52.fa,0.05000000000000005,average,fastANI,11,11_1,11_1
ERR7745836_bin.30.fa,0.05000000000000005,average,fastANI,11,11_1,11_1
ERR7738630_bin.121.fa,0.05000000000000005,average,fastANI,12,12_0,12_0
ERR7738353_bin.12.fa,0.05000000000000005,average,fastANI,13,13_1,13_1
ERR7738938_bin.43.fa,0.05000000000000005,average,fastANI,13,13_1,13_1
ERR7745831_bin.2.fa,0.05000000000000005,average,fastANI,13,13_1,13_1
SRR8732223_bin.2.fa,0.05000000000000005,average,fastANI,13,13_1,13_1
ERR7738611_bin.100.fa,0.05000000000000005,average,fastANI,14,14_1,14_1
ERR7746398_bin.2.fa,0.05000000000000005,average,fastANI,14,14_1,14_1
ERR7746440_bin.60.fa,0.05000000000000005,average,fastANI,14,14_1,14_1
ERR7738166_bin.78.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738545_bin.41.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738553_bin.61.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738558_bin.69.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738594_bin.58.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738604_bin.3.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738611_bin.7.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738612_bin.39.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738616_bin.44.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738622_bin.128.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7738624_bin.207.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7745402_bin.39.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR7746398_bin.47.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
SRR1761703_bin.6.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
SRR1761704_bin.5.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
SRR1761706_bin.4.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
SRR1761718_bin.25.fa,0.05000000000000005,average,fastANI,15,15_1,15_1
ERR11604941_bin.6.fa,0.05000000000000005,average,fastANI,15,15_2,15_2
SRR1761719_bin.13.fa,0.05000000000000005,average,fastANI,15,15_3,15_3
ERR7738196_bin.3.fa,0.05000000000000005,average,fastANI,15,15_4,15_4
ERR7738629_bin.5.fa,0.05000000000000005,average,fastANI,15,15_5,15_5
ERR7738215_bin.30.fa,0.05000000000000005,average,fastANI,15,15_6,15_6
ERR11604952_bin.11.fa,0.05000000000000005,average,fastANI,15,15_7,15_7
ERR7738143_bin.23.fa,0.05000000000000005,average,fastANI,15,15_8,15_8
SRR1761710_bin.12.fa,0.05000000000000005,average,fastANI,15,15_9,15_9
ERR7738253_bin.110.fa,0.05000000000000005,average,fastANI,16,16_1,16_1
ERR7738267_bin.3.fa,0.05000000000000005,average,fastANI,16,16_1,16_1
ERR7738594_bin.88.fa,0.05000000000000005,average,fastANI,16,16_1,16_1
ERR7738622_bin.106.fa,0.05000000000000005,average,fastANI,16,16_1,16_1
ERR7738629_bin.44.fa,0.05000000000000005,average,fastANI,16,16_1,16_1
ERR7738938_bin.50.fa,0.05000000000000005,average,fastANI,17,17_0,17_0
SRR1761683_bin.10.fa,0.05000000000000005,average,fastANI,18,18_0,18_0
ERR11604930_bin.4.fa,0.05000000000000005,average,fastANI,19,19_1,19_1
ERR7738229_bin.31.fa,0.05000000000000005,average,fastANI,19,19_2,19_2
ERR7738611_bin.36.fa,0.05000000000000005,average,fastANI,20,20_1,20_1
ERR7738612_bin.114.fa,0.05000000000000005,average,fastANI,20,20_1,20_1
ERR7738143_bin.51.fa,0.05000000000000005,average,fastANI,21,21_1,21_1
ERR7738253_bin.69.fa,0.05000000000000005,average,fastANI,21,21_1,21_1
ERR7738594_bin.19.fa,0.05000000000000005,average,fastANI,21,21_1,21_1
ERR7738608_bin.125.fa,0.05000000000000005,average,fastANI,21,21_1,21_1
ERR7738622_bin.15.fa,0.05000000000000005,average,fastANI,21,21_1,21_1
ERR11604932_bin.8.fa,0.05000000000000005,average,fastANI,22,22_0,22_0
ERR7738622_bin.86.fa,0.05000000000000005,average,fastANI,23,23_1,23_1
ERR7738624_bin.200.fa,0.05000000000000005,average,fastANI,23,23_1,23_1
ERR7738611_bin.79.fa,0.05000000000000005,average,fastANI,24,24_1,24_1
ERR7738612_bin.16.fa,0.05000000000000005,average,fastANI,24,24_1,24_1
ERR7738612_bin.43.fa,0.05000000000000005,average,fastANI,25,25_0,25_0
SRR1761703_bin.20.fa,0.05000000000000005,average,fastANI,26,26_0,26_0
ERR7738514_bin.69.fa,0.05000000000000005,average,fastANI,27,27_1,27_1
ERR7738547_bin.29.fa,0.05000000000000005,average,fastANI,27,27_1,27_1
ERR7738253_bin.41.fa,0.05000000000000005,average,fastANI,28,28_0,28_0
ERR7738612_bin.37.fa,0.05000000000000005,average,fastANI,29,29_0,29_0
ERR7738624_bin.86.fa,0.05000000000000005,average,fastANI,30,30_1,30_1
SRR1761699_bin.29.fa,0.05000000000000005,average,fastANI,30,30_1,30_1
SRR1761709_bin.27.fa,0.05000000000000005,average,fastANI,30,30_1,30_1
SRR17643657_bin.27.fa,0.05000000000000005,average,fastANI,31,31_0,31_0
ERR7738611_bin.116.fa,0.05000000000000005,average,fastANI,32,32_0,32_0
ERR7738514_bin.65.fa,0.05000000000000005,average,fastANI,33,33_1,33_1
ERR7738620_bin.22.fa,0.05000000000000005,average,fastANI,33,33_1,33_1
ERR7738616_bin.18.fa,0.05000000000000005,average,fastANI,34,34_1,34_1
SRR1761702_bin.12.fa,0.05000000000000005,average,fastANI,34,34_1,34_1
ERR7738196_bin.39.fa,0.05000000000000005,average,fastANI,35,35_1,35_1
ERR7738608_bin.143.fa,0.05000000000000005,average,fastANI,35,35_1,35_1
ERR7738267_bin.29.fa,0.05000000000000005,average,fastANI,36,36_0,36_0
SRR1761714_bin.11.fa,0.05000000000000005,average,fastANI,37,37_0,37_0
SRR8732226_bin.1.fa,0.05000000000000005,average,fastANI,38,38_0,38_0
ERR7738196_bin.44.fa,0.05000000000000005,average,fastANI,39,39_1,39_1
ERR7738630_bin.138.fa,0.05000000000000005,average,fastANI,39,39_1,39_1
ERR7745402_bin.80.fa,0.05000000000000005,average,fastANI,39,39_1,39_1
SRR17643804_bin.18.fa,0.05000000000000005,average,fastANI,40,40_0,40_0
ERR7738166_bin.59.fa,0.05000000000000005,average,fastANI,41,41_1,41_1
ERR7738182_bin.45.fa,0.05000000000000005,average,fastANI,41,41_1,41_1
ERR7745402_bin.75.fa,0.05000000000000005,average,fastANI,41,41_1,41_1
ERR7745819_bin.21.fa,0.05000000000000005,average,fastANI,41,41_1,41_1
SRR17643938_bin.10.fa,0.05000000000000005,average,fastANI,41,41_1,41_1
SRR8732217_bin.5.fa,0.05000000000000005,average,fastANI,41,41_1,41_1
ERR7738545_bin.23.fa,0.05000000000000005,average,fastANI,42,42_1,42_1
ERR7738553_bin.23.fa,0.05000000000000005,average,fastANI,42,42_1,42_1
ERR7738267_bin.39.fa,0.05000000000000005,average,fastANI,43,43_0,43_0
ERR7738604_bin.93.fa,0.05000000000000005,average,fastANI,44,44_0,44_0
ERR7738143_bin.19.fa,0.05000000000000005,average,fastANI,45,45_1,45_1
ERR7738608_bin.72.fa,0.05000000000000005,average,fastANI,45,45_1,45_1
SRR1761718_bin.14.fa,0.05000000000000005,average,fastANI,45,45_1,45_1
SRR8732217_bin.15.fa,0.05000000000000005,average,fastANI,45,45_1,45_1
ERR7745819_bin.28.fa,0.05000000000000005,average,fastANI,46,46_1,46_1
SRR8732217_bin.2.fa,0.05000000000000005,average,fastANI,46,46_1,46_1
ERR7738553_bin.42.fa,0.05000000000000005,average,fastANI,47,47_1,47_1
SRR1761699_bin.3.fa,0.05000000000000005,average,fastANI,47,47_1,47_1
ERR11604947_bin.5.fa,0.05000000000000005,average,fastANI,47,47_2,47_2
ERR7738182_bin.16.fa,0.05000000000000005,average,fastANI,48,48_1,48_1
ERR7738553_bin.95.fa,0.05000000000000005,average,fastANI,48,48_1,48_1
ERR7738630_bin.8.fa,0.05000000000000005,average,fastANI,48,48_1,48_1
